Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
0	0.102	0.099	0.1	0.1	0.098	0.097	0.099	0.099	0.099	0.1	0.108	0.098
0.381111111	0.157	0.153	0.15	0.154	0.143	0.142	0.145	0.151	0.15	0.154	0.165	0.155
0.739166667	0.164	0.166	0.164	0.166	0.155	0.153	0.156	0.162	0.165	0.166	0.173	0.166
1.0975	0.161	0.166	0.164	0.166	0.157	0.153	0.156	0.16	0.16	0.165	0.172	0.166
1.455833333	0.162	0.171	0.167	0.164	0.154	0.151	0.154	0.156	0.157	0.16	0.168	0.161
1.814166667	0.166	0.176	0.172	0.163	0.15	0.151	0.153	0.156	0.157	0.159	0.166	0.165
2.1725	0.164	0.194	0.188	0.172	0.154	0.152	0.152	0.154	0.157	0.161	0.169	0.163
2.530555556	0.164	0.225	0.22	0.184	0.155	0.154	0.156	0.157	0.158	0.162	0.167	0.16
2.888888889	0.164	0.272	0.268	0.211	0.158	0.158	0.156	0.158	0.16	0.163	0.166	0.158
3.247222222	0.164	0.336	0.326	0.249	0.161	0.159	0.159	0.163	0.168	0.168	0.171	0.162
3.605555556	0.164	0.412	0.403	0.302	0.162	0.161	0.162	0.163	0.172	0.176	0.177	0.166
3.963888889	0.168	0.507	0.495	0.375	0.161	0.16	0.161	0.161	0.182	0.184	0.181	0.164
4.322222222	0.167	0.6	0.587	0.466	0.16	0.157	0.157	0.16	0.2	0.201	0.187	0.167
4.680277778	0.167	0.733	0.725	0.554	0.176	0.164	0.164	0.167	0.236	0.239	0.204	0.17
5.038611111	0.168	0.851	0.851	0.674	0.176	0.163	0.166	0.176	0.273	0.283	0.246	0.169
5.396666667	0.171	0.894	0.918	0.818	0.208	0.177	0.174	0.194	0.353	0.355	0.268	0.179
5.755	0.167	0.916	0.934	0.892	0.238	0.184	0.18	0.22	0.427	0.438	0.334	0.201
6.113055556	0.169	0.933	0.941	0.918	0.269	0.212	0.194	0.259	0.513	0.531	0.413	0.229
6.471388889	0.171	0.938	0.958	0.926	0.35	0.253	0.236	0.319	0.629	0.631	0.5	0.268
6.829722222	0.172	0.953	0.961	0.938	0.432	0.305	0.268	0.387	0.767	0.766	0.6	0.336
7.187777778	0.17	0.942	0.968	0.955	0.525	0.394	0.35	0.483	0.856	0.863	0.727	0.409
7.546111111	0.186	0.982	0.986	0.956	0.634	0.474	0.416	0.571	0.886	0.904	0.857	0.497
7.904166667	0.178	0.975	0.986	0.969	0.778	0.559	0.509	0.706	0.903	0.907	0.894	0.6
8.2625	0.173	0.984	0.997	0.969	0.861	0.69	0.606	0.827	0.925	0.917	0.917	0.735
8.620833333	0.171	0.99	1.002	0.986	0.908	0.816	0.73	0.887	0.932	0.932	0.915	0.845
8.978888889	0.165	0.993	1.014	0.985	0.918	0.902	0.858	0.926	0.925	0.919	0.932	0.882
9.337222222	0.172	1	1.024	0.993	0.923	0.929	0.897	0.922	0.944	0.936	0.947	0.898
9.695277778	0.175	1.004	1.02	0.986	0.928	0.93	0.92	0.919	0.939	0.928	0.947	0.923
10.05361111	0.172	1.017	1.034	1.006	0.953	0.948	0.922	0.928	0.959	0.945	0.959	0.92
10.41194444	0.174	1.034	1.053	1.02	0.956	0.945	0.928	0.936	0.967	0.957	0.944	0.922
10.77055556	0.179	1.052	1.068	1.044	0.961	0.967	0.956	0.966	0.969	0.969	0.964	0.939
11.12888889	0.175	1.054	1.06	1.041	0.961	0.958	0.95	0.953	0.976	0.97	0.985	0.942
11.48694444	0.173	1.054	1.073	1.044	0.961	0.975	0.953	0.974	0.983	0.98	0.999	0.941
11.84527778	0.171	1.058	1.076	1.053	0.973	0.97	0.972	0.979	1.004	0.992	0.989	0.946
12.20361111	0.172	1.067	1.085	1.066	0.985	0.988	0.975	0.982	1.007	1.004	1.002	0.962
12.56166667	0.172	1.069	1.089	1.069	0.994	0.995	0.982	0.99	1.013	1.011	1.021	0.965
12.92	0.172	1.078	1.097	1.071	1.003	0.997	0.998	0.994	1.026	1.021	1.02	0.976
13.27805556	0.171	1.09	1.104	1.089	1.022	1.016	0.991	1.005	1.031	1.03	1.04	0.979
13.63638889	0.171	1.092	1.108	1.101	1.027	1.025	1.001	1.015	1.039	1.041	1.035	0.99
13.99444444	0.171	1.099	1.12	1.101	1.041	1.027	1.012	1.022	1.046	1.046	1.046	1.011
14.35277778	0.173	1.1	1.121	1.119	1.044	1.038	1.026	1.039	1.064	1.056	1.049	1.007
14.71111111	0.167	1.097	1.12	1.115	1.054	1.049	1.037	1.041	1.07	1.067	1.058	1.016
15.06944444	0.173	1.113	1.128	1.116	1.056	1.058	1.036	1.047	1.068	1.071	1.065	1.018
15.42777778	0.175	1.112	1.127	1.13	1.061	1.055	1.047	1.056	1.083	1.078	1.077	1.038
15.78583333	0.168	1.119	1.135	1.138	1.077	1.069	1.052	1.062	1.092	1.074	1.074	1.041
16.14416667	0.168	1.122	1.14	1.148	1.089	1.073	1.062	1.065	1.087	1.085	1.084	1.043
16.5025	0.171	1.133	1.154	1.155	1.103	1.09	1.078	1.077	1.101	1.093	1.091	1.054
16.86055556	0.172	1.134	1.151	1.153	1.101	1.082	1.074	1.074	1.098	1.096	1.089	1.056
17.21888889	0.17	1.145	1.159	1.166	1.115	1.094	1.077	1.083	1.105	1.099	1.097	1.06
17.57722222	0.171	1.144	1.16	1.17	1.114	1.097	1.088	1.092	1.119	1.107	1.107	1.067
17.93527778	0.167	1.157	1.165	1.17	1.125	1.11	1.105	1.101	1.121	1.117	1.113	1.084
18.29416667	0.169	1.149	1.169	1.173	1.13	1.121	1.114	1.109	1.123	1.119	1.116	1.083
18.65222222	0.168	1.171	1.172	1.18	1.127	1.126	1.111	1.116	1.136	1.13	1.127	1.095
19.01055556	0.17	1.175	1.183	1.186	1.136	1.13	1.113	1.122	1.137	1.135	1.13	1.098
19.36861111	0.17	1.182	1.188	1.197	1.148	1.134	1.115	1.122	1.136	1.132	1.127	1.096
19.72694444	0.168	1.18	1.182	1.193	1.151	1.147	1.13	1.133	1.146	1.136	1.141	1.107
20.08527778	0.171	1.189	1.188	1.197	1.152	1.147	1.132	1.137	1.146	1.139	1.137	1.104
20.44361111	0.169	1.176	1.187	1.191	1.159	1.146	1.136	1.143	1.159	1.151	1.151	1.117
